state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Gujarat,Chhota Udaipur,Bodeliu,Groundnut,Other,FAQ,2025-07-26,5011,5071,5040
Kerala,Ernakulam,Thrippunithura,Bhindi(Ladies Finger),Bhindi,FAQ,2025-07-26,6000,7000,6200
Kerala,Kozhikode(Calicut),Kallachi,Carrot,Carrot,FAQ,2025-07-26,6300,6700,6500
Kerala,Thiruvananthapuram,Parassala,Snakeguard,Snakeguard,FAQ,2025-07-26,4000,4500,4000
Kerala,Kozhikode(Calicut),Mukkom,Grapes,Other,Large,2025-07-26,9000,10000,9500
Kerala,Ernakulam,Thrippunithura,Banana - Green,Banana - Green,FAQ,2025-07-26,4000,5000,4200
Kerala,Kozhikode(Calicut),Mukkom,Beetroot,Beetroot,FAQ,2025-07-26,4000,4300,4100
Uttrakhand,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,2025-07-26,3450,3450,3450
Uttrakhand,Haridwar,Manglaur,Banana,Other,Medium,2025-07-26,1200,1500,1300
Kerala,Kozhikode(Calicut),Mukkom,Cabbage,Cabbage,FAQ,2025-07-26,3000,3300,3100
Haryana,Gurgaon,Gurgaon,Mango,Other,Large,2025-07-26,3000,5000,4000
Gujarat,Jamnagar,Kalawad,Arhar (Tur/Red Gram)(Whole),Other,FAQ,2025-07-26,5000,5975,5500
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,2025-07-26,4050,5000,4550
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,2025-07-26,1350,2550,1800
Kerala,Kozhikode(Calicut),Palayam,Amphophalus,Other,FAQ,2025-07-26,5000,5000,5000
Kerala,Alappuzha,Chengannur,Bottle gourd,Other,FAQ,2025-07-26,1900,2200,2000
Kerala,Ernakulam,Mazhuvannur VFPCK,Elephant Yam (Suran),Elephant Yam (Suran),FAQ,2025-07-26,2500,5800,4800
Kerala,Alappuzha,Chengannur,Beetroot,Beetroot,FAQ,2025-07-26,4000,4300,4200
